Headline (CID),Date_Posted,Post_Text,Source_URI,Author_DID
bafyreic4ugp4vrstglzuzexcdprtns4ocrgybu3pm2z3uv5ihgqh5zs62u,2026-02-28,"Impeach F47.  ""Death toll after Israeli attack on school in Iran jumps to 40"" ""We have reported earlier that an Israeli strike hit an elementary girl’s school in Minab, a city in the Hormozgan province of southern Iran, killing 24 people.""👇  From @aljazeera.com   www.aljazeera.com/news/liveblo...",https://bsky.app/profile/lisabahr.bsky.social/post/3mfw6ckjomk2g,did:plc:wklhbep7d6mljphwrmtwnohp
bafyreia634urttutro34ll6pg4clugg2xiys5iiaxmnewdu4bqzablwc7q,2026-02-28,"Trump, president of peace who has stopped 7 wars has just started another www.bbc.co.uk/news/live/cn...",https://bsky.app/profile/clivemccarthy.bsky.social/post/3mfw6cfvigk2c,did:plc:2ha5qxhyejob35hx2xdurcir
bafyreifgqv7lpeq2d4misaj4xrfzseignmktarcaie472guqedethdvpse,2026-02-28,"If the republicans in congress had had any backbone or common sense and actually did their jobs of representing the American people, then the news this morning could've been about an impeachment trial, not a war with Iran.",https://bsky.app/profile/evlyn94.bsky.social/post/3mfw6c2yank2l,did:plc:nig2rpv5tyklkqifpmvsirwr
bafyreifbqygc6kzjmd7xqm6l2qf36mt6psbyfhqynevm3rkny2s44peoiq,2026-02-28,"The phone call affair also complicates Trump’s regularly-repeated claim that he has “ended 8 wars” since he returned 2office last Jan, which he claimed as part of his appeal2be awarded the NPP& insisted on again at his SOTU address to Congress Tuesday. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw6bsgfxc2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreid5oamfeqbrwav5ou64nvtnuib54g5hp3tbsonzajnxtqgfhlo73i,2026-02-28,"I don't want to speak too rashly.   However, I do want to directly acknowledge the very recent news that the US and Israel have launched an attack in Iran using almost the exact same war on terror logic.   It is disgusting and this is another extension of imperialistic violence.",https://bsky.app/profile/blackautmedia.bsky.social/post/3mfw6bjwirs22,did:plc:p7sqtnmsxwxg6tp6q2nlpw7v
bafyreig3rdaruby52uwunnhustc5w25ebd3yespndq6vycrk3oi3on27se,2026-02-28,#trump #gop #politics #news #usa #republicans,https://bsky.app/profile/sigmanphi.bsky.social/post/3mfw6b4kdmc27,did:plc:rhj3nqt2rq3uksjrd7apwpkr
bafyreiadzek34pjusoebbvnvniwubqzxcuwksk3wjx3klffxz43lu4si4a,2026-02-28,"US, Israel attack Iran live: Trump announces ‘major combat operations’ | Al Jazeera  www.aljazeera.com/news/liveblo...",https://bsky.app/profile/jenetallday.bsky.social/post/3mfw6b2kjmk2q,did:plc:lyac3nnihqthc2tejcamgwol
bafyreibfy7ochfsxigw4skbizrpm27q6agx72h3it4pyzo27p6kzvsdywa,2026-02-28,Let’s also keep ICE in the news along with Epstein Files & the now War in Iran that these maniacs started as well as the elections they’re trying to overthrow. They’re still out there terrorizing America. This is a coup.,https://bsky.app/profile/ttlytwstd.bsky.social/post/3mfw6awlaes2k,did:plc:wimpgk2br4htjm4m7psrakc6
bafyreidxmryjlfcnewixeuvhk5gxgewx4dxhc7yhmowmiwlb6oagrleaeq,2026-02-28,Iran's Foreign Minister Abbas Araghchi says the country will use all its military means under its right of self-defence to protect itself.  www.bbc.co.uk/news/live/cn...,https://bsky.app/profile/mrichalan.bsky.social/post/3mfw6ai6gbs2f,did:plc:un66xmtzxdmrk6d37vy6r65x
bafyreigsvyeb3rms6esk6pa5myofpu7fjvpnbmfxr5nxytqs6yag2a4aee,2026-02-28,Live updates: US and Israel strike Iran | AP News share.google/S2bp7wQB8Syr...,https://bsky.app/profile/kaye62.bsky.social/post/3mfw6aecank2r,did:plc:y4xamyvecquqtu3rge5cry56
bafyreieo3je3qvghkryuslr4mouvt3wfzw3odwkdoh3sbwajp7oqppfc3u,2026-02-28,"The death toll in an Israeli-US strike on a girls' school in southern Iran rises to at least 40, the state-run IRNA news agency reported.  At least 45 others were wounded in the attack in Minab in Iran's Hormozgan province.",https://bsky.app/profile/bystander1.bsky.social/post/3mfw67tq4rs2u,did:plc:bigmamss66p5b2kkjuuidozp
bafyreigjsniu3jyamsjkfuimoxnxcmyj7civgo2fzufxl4vwoe4tcw5vki,2026-02-28,"I sure do wish we didn't have to care about ""oil rich nations"" as much as we seem to.  Is going to run another 20 years?  The United States and Israel launched an attack Saturday on Iran,   www.yahoo.com/news/article...",https://bsky.app/profile/alpacastarr.bsky.social/post/3mfw67qi5n22h,did:plc:ztrqftts4xmb2msqri2razov
bafyreib53i7b7ggaxznwt37kvrb6v3vdxkbrm2bvmybuqaadgwnwrnikw4,2026-02-28,Interesting. The link I copied and pasted had the headline “Death toll at girls school rises to 40 in Iran strike.” Try this one instead.  www.middleeasteye.net/news/least-2...,https://bsky.app/profile/fenbeast.bsky.social/post/3mfw67izxks2x,did:plc:b4j6ie4jjmuxchrf37emi4y5
bafyreibql3zfeifpz36s36s6fyakohsg26ttoqfyvq5bhdbyg4wnwrdxfu,2026-02-28,#trump #gop #politics #news #usa #republicans,https://bsky.app/profile/sigmanphi.bsky.social/post/3mfw67dy5tc27,did:plc:rhj3nqt2rq3uksjrd7apwpkr
bafyreigrtvvxby6zdtc2ea534k3daztodbco6t7sbpsyv4j75gpk4tjele,2026-02-28,"Asked on February 16 whether he was involved in the rift between Saudi Arabia and the UAE, Trump said he was not, but he could become so. “We can get it settled very easily,” he said. “That’s an easy one to settle.” www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw676mzbc2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreibj2xkdr5oyxobsvoe6qq4rigvhfrhg2pqhr6c6q3scyqowvkghei,2026-02-28,"An Emirati investment firm last yr reportedly bought into the Trump family’s crypto-company, WLF& the Saudi sovereign wealth fund has thrown in with a priv-equity outfit run by Jared Kushner, Trump’s son-in-law2carry out a $55B buyout of a vid-g-pub- EA Sports. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw66bzifc2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreic3k36ymweoaadmoeo6tpvpkwekfjfnxakp5vmjctr3jenyctp2ue,2026-02-28,The Epstein what now?  And now for something completely different...   Israel and US launch a major attack on Iran | AP News share.google/FG1JZnre8eqQ...,https://bsky.app/profile/djangoroncin.bsky.social/post/3mfw65t2jak2p,did:plc:5fcmhch4su5ekor3zwtjpd3q
bafyreid3avh6dvsu5r5u4k5f6tqzgwwje5qwvvmzncgogqfii6hcrohnwi,2026-02-28,"Stay safe, the news I'm getting aint good. Have you seen the bombs being dropped on Iran? They're being gassed.",https://bsky.app/profile/voxrox.bsky.social/post/3mfw65evpyc24,did:plc:bvxnc4dhajyhwik6wgxzeysl
bafyreidqxx4wbpkyrdwbmypck7ilzb35fsatf2fjheajopzvf4bpq2gdfi,2026-02-28,#trump #gop #politics #news #usa #republicans,https://bsky.app/profile/sigmanphi.bsky.social/post/3mfw65bwi5227,did:plc:rhj3nqt2rq3uksjrd7apwpkr
bafyreif5qgkzcegannvh54fx6khfhlnjbu4nm5txgxxanaky5gzxger5za,2026-02-28,"Quick reactions after learning that no, nobody could stop him. 1/  goodauthority.org/news/trump-m... 1/",https://bsky.app/profile/profsaunders.bsky.social/post/3mfw646ujs22o,did:plc:woguanxjwrm7yjapgt5avd2p
bafyreierrrlewxusng4ig72g2z35futuym7ub36sowqs6wzjz6z4faj2i4,2026-02-28,"Iran retaliating in the harshest way already , it’s on the news now .",https://bsky.app/profile/captivating8.bsky.social/post/3mfw63ytvq22l,did:plc:qq74hyp2hpmmjokqb754gwqf
bafyreibwqmodxny53jbv6gfzqw7lqpqyjufpxonzvzvpnbmjppxnyse3ci,2026-02-28,#TrumpRegime  www.commondreams.org/news/trump-i...,https://bsky.app/profile/blackmalki.bsky.social/post/3mfw63es6l22c,did:plc:qs4q5mxjy7lwexzq5ugxdd5t
bafyreihc6hehe5piknzeptino73mulhspsxtjcjtbv523fuuwfdkzj32na,2026-02-28,"They could also create problems for Trump personally, given that he has substantial business ties to both nations. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw62jqt622u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreiddbvzaymvycbdxlh7rrqjqwia4mlhgcd3gre6dt6vrpa4ehswg5e,2026-02-28,Iran news reporting a 40 people have been killed in a girls school.  The first victims of war are always the innocent.,https://bsky.app/profile/richardtuffin.bsky.social/post/3mfw62drttk2r,did:plc:tz7q6k743mypom5ge423sgxn
bafyreighzjcg5cul7n45nvt4j6owpqmsylmai7gickbmcefbqg2f3heo6e,2026-02-28,Claims of 40 dead after an Israeli airstrike on a elementary girl’s school in Iran www.aljazeera.com/news/liveblo...,https://bsky.app/profile/eliothiggins.bsky.social/post/3mfw62636522w,did:plc:2whlowi5jjjqrdrrj4lxh2lx
bafyreihey4amavkjnbhj5kp2qvr4tt2wnzfou5v6zemmat73pkkpk75jee,2026-02-28,Refugees ARE NOT undocumented aliens. They are individuals who have been formally processed and vetted to enter and reside in the US.  huffpost.com/entry/trump-administration-cannot-terrorize-minnesotas-refugees-with-arrests-us-judge-rules_n_69a23ab6e4b0790713155d27?origin=home-latest-news-unit,https://bsky.app/profile/belliled.bsky.social/post/3mfw6243jys2c,did:plc:4midfwn7kej2wvvgqckcmjpo
bafyreigrahk2wwzleqd36y5fyhjagkntednrc74a3d52drkn4qg5i5eiau,2026-02-28,"40 schoolgirls dead, 48 injured in an Israeli strike on a school, Iran says  Forty schoolgirls were killed and 48 were injured when a strike destroyed a girls’ elementary school in Minab, southern Iran.  www.telegraph.co.uk/world-news/2...",https://bsky.app/profile/roblevine82.bsky.social/post/3mfw5zk6ttc2i,did:plc:we5tbbw6bmraejxod4ea6hki
bafyreigymacfncdbbynopg4ot45qiclrqt4c7vud7urupclenx747323vq,2026-02-28,"40 people were killed and 48 injured in an attack on a school in Minab, Iran, according to the IRNA news agency. There is currently no independent confirmation of this information.",https://bsky.app/profile/beefeaterfella.bsky.social/post/3mfw5z6oxek2l,did:plc:hjnftvy2bqhs7ffh7nwii737
bafyreibkd6jrfrm4hd2iz47o4mclrukrrwepntalpzpch3v3xwpdhezmkm,2026-02-28,"given that the support of both nations will be required if U.S. policy in the Middle East is to succeed, particularly in Iran and Gaza. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw5z6bavc2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreigolenf5ggd6nqqsclrhoepsbu6gol3whnhjbztk6nkjyzljgcz7i,2026-02-28,It was nice of him to give some of the diplomatic staff about 5 minutes to evacuate. 🤡🤬  U.S. clears some diplomatic staff to leave Israel as tension with Iran continues despite talks www.cbsnews.com/news/us-iran...,https://bsky.app/profile/thisismyyear.bsky.social/post/3mfw5yxuuu22s,did:plc:qnrhcmwx4oxvoiol62btxvvl
bafyreiahpneeqmzcjsohkrcxkk7e64kyevww2bxx7dgavibi3dlcdduyyi,2026-02-28,"The Fars news agency says Iran’s senior officials are “in perfect health”, including President Masoud Pezeshkian, parliament speaker Mohammad Bagher Ghalibaf and security chief Ali Larijani.  “While Israeli sources have claimed to have targeted and succeeded in attacking the president …”",https://bsky.app/profile/ascot4132.bsky.social/post/3mfw5yqnz5s2w,did:plc:yuocdyzqzj6bfdzjr6cyp6ps
bafyreibqyphceho7kqd2rumz6zuxjowstdtljvcxys5gqu3mzkq7mijum4,2026-02-28,"The Sudanese civil war has received little attention from the Trump administration so far, but the tensions between Saudi Arabia and the UAE represent a potentially major diplomatic headache,  www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw5ykvdy22u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreiglvdgohbm7n2brlagnkr6yvwzn7jxfye55tpnqlzowsyxixt4kwq,2026-02-28,Trump criticizes Anthropic for prioritizing AI safety over its use in surveillance. Is this the future of ethical AI? #AIethics  https://www.theguardian.com/us-news/2026/feb/27/trump-news-at-a-glance-latest-today,https://bsky.app/profile/ai-latestnews.bsky.social/post/3mfw5yksmpi2l,did:plc:aqaomt76o364rxit7dz7dme6
bafyreiebwo3uevgigiudqswr4ibouifq3xfrmhsy4pxb6j2oa52x4ygbsy,2026-02-28,"Waking up to the news that we're bombing Iran: all because we're led by a draft dodging asshole who got pissed off he didn't win a Nobel peace prize, and is desperately trying to distract the world from legitimate allegations he's a goddamn child rapist.",https://bsky.app/profile/paulwartenberg.bsky.social/post/3mfw5y2tlkc27,did:plc:cs2trt6tevazzikxoyj2jera
bafyreiaqw23n2xp6b5un4th3oxa3di3xfp57fhzawzcpcbtx5rivwc7lhm,2026-02-28,OpenAI strikes deal with Pentagon after Trump orders government to stop using Anthropic - NBC News  Let me go and sign up for the #anthropic,https://bsky.app/profile/oscarwao.com/post/3mfw5xzcn5c2t,did:plc:i46ois4qy3y2pussoqtqn3ou
bafyreidexkrzcwkweuqmyc5pxt2wduor4h3wx6gmskaxpj6yj5ozgkbari,2026-02-28,The flare-up reached its nadir in December when Saudi Arabia bombed an alleged shipment of Emirati weapons destined for Yemen. The Independent has reached out to the White House and State Department for comment. www.independent.co.uk/news/world/a...,https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw5xkbfq22u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreigmqjzhboozfh4dusefud47nfniy7hp4d2dyuda3vstseuhjopeey,2026-02-28,Even these two warmongering white men on FOX NEWS admit that Iran wasn’t going to be able to hit the U.S. before 2035.  They are currently explaining why Americans should be very concerned that Iran might be able to send a missile to Italy. 💁🏽‍♀️,https://bsky.app/profile/gaildrakes.bsky.social/post/3mfw5xg6vx22k,did:plc:7dxrq6b7es7ijahjwdm7icrp
bafyreigzbh4oflw5m3wgk7ccby3hufix5uit6mvzd2pt6tq4xcb4y24v2y,2026-02-28,The election season is officially on and Trump wants to throw his endorsement into the ring but does not want to appear to pick a LOSER candidate. Yesterday in Corpus Christi he praised all three candidates. Make it easy on him. Vote Democratic for the Midterm.  www.ms.now/news/trump-f... #VOTE2026,https://bsky.app/profile/isailsf.bsky.social/post/3mfw5xekwuc2s,did:plc:ksqubyzxapovi4qfpgxutx7q
bafyreiae2pj5y7lhi3tfvim4rconpijozpqrvtcmxd5xc5qtxh4r7ev2pq,2026-02-28,This is one of those morning you will want to find an empty open top 55 gallon barrel before you see the news. A waste paper basket is in no way voluminous enough!,https://bsky.app/profile/miningmeagan.bsky.social/post/3mfw5wyggak2g,did:plc:rh7aj5peijc7fmpcvbcyklf5
bafyreib33vsko24dpio3n3ew3jibzskrfgtpmibilouzgfnvlzdil52gji,2026-02-28,"Iran strikes UAE, Kuwait, Qatar, and other targets throughout the region.  www.aljazeera.com/news/2026/2/...",https://bsky.app/profile/beeksmad.bsky.social/post/3mfw5wuunmk2i,did:plc:3rmb4yjaddscgm37az3bdid7
bafyreifmdxnmarruvy5tylx7bgdlgih7ub4nb6c3tb5wdreujv7zef3r3i,2026-02-28,"Honorary Secret Service Agent Devarjaye 'DJ' Daniel Is Not Dead, Dad Confirms  Devarjaye 'DJ' Daniel -- the teenager who President Donald Trump made an honorary Secret Service agent last year -- isn't dead despite the viral speculation ... so says the young man's father. Theodis… #media #news #trump",https://bsky.app/profile/media-news.at.thenote.app/post/3mfw5wacg5c23,did:plc:brlra5qviwsbansrgtrtcnn6
bafyreicr2wobde5xc6v5fsdsidff6yfduoknxkl32hqtvzsxfwmgy3phwa,2026-02-28,"Although the details of precisely what was said on the call may be disputed, the outcome was the same – an eruption of tensions between two Gulf oil states that were fairly close allies until recently. www.independent.co.uk/news/world/a...",https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw5vrhktc2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreiclamanwk3rdkbiod4ecn6ntjaxjfjlxc6arjvz4r2nryawwi4bga,2026-02-28,"Does Iran have access to water to put out the fires? Location matters…  Map shows December plus January rain in mm. Tehran in the North of the country is probably in the yellow-orange area with less than 30mm of rain. But south of the Zagross mountains, >90mm. From opendata.dwd.de/climate_envi...",https://bsky.app/profile/anlomedad.bsky.social/post/3mfw5v5x5f22d,did:plc:t7cbmjd6ercfn5hnpabnxqsk
bafyreid7oisieqhixpw66glpzlxaqgz6l2wig2d4gr67qkcsemk6yxghpa,2026-02-28,A Saudi official gave the newspaper a diff-ver-of events saying the crown prince had asked Trump2place sanctions on the paramilitary group in question the RSF not the UAE directly in the hope that starving the militia of external support &bringing an end2the war www.independent.co.uk/news/world/a...,https://bsky.app/profile/liselatulippe.bsky.social/post/3mfw5uyb65c2u,did:plc:nwohato66ne5f5jg7bdyglsd
bafyreibt7uptbkny6b2zvfcuovt3fjx37gebafq6b2lqmvt2fpaww3stme,2026-02-28,"Iranian state news agency IRNA reported at least 40 killed and 48 wounded in an Israeli strike on an elementary school for girls in Mindab, southern Iran.",https://bsky.app/profile/leakliv.bsky.social/post/3mfw5utrrbk2z,did:plc:t3emiz4xfjxzyziljsb54i4j
bafyreigevevcszawi6w2bhluxs6mzseors7eo7x7x7ut6pmjx5tfnzi2ri,2026-02-28,"FWIW the entire Israeli political establishment backs the US-Israeli war on Iran, this is not simply ""Netanyahu"".  www.haaretz.com/israel-news/...",https://bsky.app/profile/enbuenora.bsky.social/post/3mfw5umui7s2i,did:plc:lvqa2oo2my2n34orjuck56zv
bafyreighqryhym7q45k5honufpqfrtjf6xumgkr7yql35entyrixtoqfdy,2026-02-28,#Iran  www.aljazeera.com/news/2026/2/...,https://bsky.app/profile/blackmalki.bsky.social/post/3mfw5um2pys2c,did:plc:qs4q5mxjy7lwexzq5ugxdd5t
bafyreieo3utqgo6i2hmqbi7ryenziigf7quf5mhfl27vij5dg3ticzyocq,2026-02-28,How many people own Trump? Certainly Putin and Bibi!  www.bbc.com/news/live/cn...,https://bsky.app/profile/bgt0990.bsky.social/post/3mfw5ujhpqs2u,did:plc:3m4ubsheej3cpiioexsepxc6
bafyreiay6yrpk5iocgtng6sxucgifikzsqanxpwmtttsskbmro7rhjp5aq,2026-02-28,"Bad news for US: ~ Our Iraq war cost US $2T & 4,500 lives. ~ Iran is better armed than was Iraq which still has an authoritarian government; we didn't create a democracy. Good news: ~ Revenue for US military contractors ~ Attacking only by air, not sending troops to occupy Iran.",https://bsky.app/profile/craigrcarl.bsky.social/post/3mfw5tq4nnk2f,did:plc:elqzc4hyq67yqa5prtdqs5gc
bafyreihl4qycumpjhutxxwr2yitecq6je7wfpyj4i5syemcz7fvwucrgma,2026-02-28,"the American talking heads waking up and going on the news saying ""if this happens"" and ""if that happens"" is a clear indication that there isn't a future plan for the Iranian people. the Americans don't care. they're clear: American and Israeli interests come first and the Iranian people come last",https://bsky.app/profile/conkrete.bsky.social/post/3mfw5tit22s2u,did:plc:5di4olnopf5dfcokdsoajvti
bafyreieu4s6u7enajwoevntx3ydrxigdbgzltkbz2bxrbbvnvubxtpsc4u,2026-02-28,"Armageddon has no reason whatsoever  US and Israel carry out joint attack on Iran as Tehran launches retaliatory strikes  https://www.bbc.co.uk/news/live/cn5ge95q6y7t  > Donald Trump has called for regime change in Iran and said ""major combat operations"" are under way. #abrahamAccord",https://bsky.app/profile/nek.blue-ocean.social/post/3mfw5tfjf7c2q,did:plc:ogzjs7q446ngetscwbyfkxva
bafyreiazj27tf4m6os7fw2hsm32n7dppkhdtco55vlkjiabwspao5h6cle,2026-02-28,"trump will have our Americans killed. For what? ""Multiple Gulf Arab states that host US assets targeted in Iran retaliation Iran confirms targeting US bases across the Middle East."" www.aljazeera.com/news/2026/2/...",https://bsky.app/profile/bobriensan.bsky.social/post/3mfw5tdu7zs2y,did:plc:o3aqqva6ec5ifcsyldtvyqso
bafyreib4lavegjlfdyss3rrupx5fro42rwzz7edetu6ytnz7cx4gzq3qfq,2026-02-28,Iran latest: US and Israel carry out joint attack on Iran as Tehran launches retaliatory strikes - BBC News share.google/rHLi5tBG8Do8...,https://bsky.app/profile/danfeld.bsky.social/post/3mfw5sytwls24,did:plc:s5skhaxgwurv4t24qnh3rcb2
bafyreibtzpx54gmnrbfui5wmuvmdpy7ycc6ush2fa4dyijbimxyjwa7cqa,2026-02-28,"The United States pedophile president has launched a preemptive, illegal war against Iran with fellow pariah state Israel, all to distract you from the Epstein files and trumps criminal behavior in the Epstein scandal. He can now add war criminal to his resume. www.aljazeera.com/news/liveblo...",https://bsky.app/profile/upbeachbum.bsky.social/post/3mfw5sp424s2l,did:plc:3wcdjyeka345qisgrevbtkk3
bafyreifavb2vypc3wwsxhlvvwibskybnaagz6oxmc2vg3fhqgfdy245nom,2026-02-28,"Death toll in a strike on girls' school in southern Iran rises to 40, state media say www.houstonchronicle.com/news/world/a...",https://bsky.app/profile/kenduque.bsky.social/post/3mfw5sndngs2h,did:plc:dqo3qjok3rjj27tabiuakg4d
bafyreiapzcerb266omi2y4pphkgvqbjzyuqcp5aztomwaqpg7qyprms3ua,2026-02-28,"Trump posts on Truth Social the headline and link to a Just the News story:  “Iran tried to interfere in 2020, 2024 elections to stop Trump, and now faces renewed war with United States”",https://bsky.app/profile/lolagaylec.bsky.social/post/3mfw5sn5aec2b,did:plc:s2xocmdbnrto2yp4fbvfant6
bafyreigikgzuzvf3qmsh5sbzknesjxqffx7avmwc3c7g7525y2wibdveui,2026-02-28,And deranged Trump still thinks he deserves a Nobel Prize Utter c*** of a man  www.middleeasteye.net/news/least-2...,https://bsky.app/profile/jacksont0ny.bsky.social/post/3mfw5shjfi222,did:plc:kqf4z2xio6ahsk63tlm5d6d7
bafyreifisp577x663tvhwcsm766zq5bppp3cea4l6jwal4pwk72n2uguxq,2026-02-28,"The US financial SWIFT gateways are the most critical asymmetric vulnerability in the United States right now. While the news is focused on missiles in the Middle East, the Iranian strategy for a ""decisive"" response involves ""unplugging"" the American consumer from their money.",https://bsky.app/profile/abigail-b.bsky.social/post/3mfw5s52sh22z,did:plc:yahigzxobsyg4att54vmgm27
bafyreid3rqhy7fyovayob4vpw7mewxorolnbwossq2u5zqfapkf4xaoyo4,2026-02-28,"@albomp.bsky.social @senatorwong.bsky.social @tonyburkemp.bsky.social PINE GAP WAR CRIMINALS !! #Auspol An Israeli strike hit an elementary girl’s school in Minab, a city located in the Hormozgan province of southern Iran, killing five students, according to Iran’s IRNA news agency. t.co/YXW695qHdM",https://bsky.app/profile/pepperqi.bsky.social/post/3mfw5r4uips24,did:plc:crquu3blyn4b2adgj5hhb66p
bafyreibs7pxlmc5zkhdrxiqp4yfg4oghk7vixmygxxwdlbchasng5b344m,2026-02-28,Iran latest: US and Israel carry out joint attack on Iran as Tehran launches retaliatory strikes www.bbc.com/news/live/cn...,https://bsky.app/profile/jemoyer.bsky.social/post/3mfw5qynmcs2h,did:plc:uefqjxxvtk3mar7pnfqplfox
bafyreidagq6b5jxovywpctewxy4lgs4ir3v7wwwldm5ang257eqspnnjae,2026-02-28,US and Israel carry out joint attack on Iran as Tehran launches retaliatory strikes www.bbc.com/news/live/cn...,https://bsky.app/profile/ultimatevoterguide.bsky.social/post/3mfw5qkcd2c26,did:plc:mnvrb2mpnbvko5r6o4nbywsi
bafyreievtl43h7arpjtn77c2ope4pyxjvqutnjyw3sidnkjxwmef7u2y7a,2026-02-28,"Don't miss the news that an Israeli missile destroyed an Iranian girls' primary school, murdering at least 25 girls between 7 and 12 years old. At this point it might just be muscle memory for the Israeli military.  www.middleeasteye.net/news/least-2...",https://bsky.app/profile/ramiismail.com/post/3mfw5qispmc2n,did:plc:jye22xkea3jqsabskhfec347
bafyreicougzlmjtaydx3owxgdrlfold6jjkrnwl7hozm7xgwha2ui3iwnu,2026-02-28,"Quds News Network: ""According to Israeli Channel 14, assessments indicate the assassination attempt on Iran's Supreme Leader Ali Khamenei and the Iranian President has failed.""  It boggles my mind that countries in conflict with western countries never do this to them.",https://bsky.app/profile/beejonson.me/post/3mfw5qdcluk2w,did:plc:2w6mbj6ho2hydardtrwbgvqy
