"Headline (CID)","Date_Posted","Post_Text","Keyword_Match_Count","Matched_Keywords","Bucket_0","Bucket_1_5","Geo_Stakeholder_Hit","Other_Keywords_Hit","Highlight","Pattern_AIRSTRIKE","Pattern_AIRSTRIKE_Keywords","Pattern_OPEN_FOR_WAR","Pattern_OPEN_FOR_WAR_Keywords","Pattern_OIL_MOVEMENT","Pattern_OIL_MOVEMENT_Keywords","Pattern_GEO_MOVEMENT","Pattern_GEO_MOVEMENT_Keywords","Pattern_INFLUENCER_RUMOR","Pattern_INFLUENCER_RUMOR_Keywords","Pattern_PAUSE_STALL","Pattern_PAUSE_STALL_Keywords","Pattern_Signal_Count","Source_URI","Author_DID","Relevant","Confidence","Matched_Topics","Reasoning"
"bafyreievb547odrfu52adgudmntwl6hqw5dtr5wfbdl5rlfmy2qiqinwje","2026-02-28","Seems to me that innocent Iranian children are currently having a much harder time with that than we are, and Carney explicitly and officially supports it.   You're going to wave that off for ""diplomacy?""","1","Iranian","0","1","1","0","False","0","","0","","0","","1","diplomacy","1","Carney","0","","2","https://bsky.app/profile/greenglassworm.bsky.social/post/3mfxgnaw72k2f","did:plc:rt4zwgabycy5jnrgvkerrmlc","True","high","The Iran conflict","The post directly discusses the impact of international policy and diplomacy on Iran and its citizens."
"bafyreievqpbs5igoxdljccdhmh5i7g65mag2r7mdmt7rgfdbckcflp5s6a","2026-02-28","🤦‍♂️ moment from #bbcnews amidst the #iran strikes.","1","Iran","0","1","1","0","False","1","strikes","0","","0","","0","","0","","0","","1","https://bsky.app/profile/diabolicalmdog.bsky.social/post/3mfxgnajdwc27","did:plc:odpaejgy6zwqn62ad5iqeohw","True","high","The Iran conflict","The post explicitly mentions military strikes involving Iran."
"bafyreiga5f2zerkb5fe5hf5ceufujhwli75kuytr6ircub2vn7x6gteuji","2026-02-28","For comparison:  pro-government demonstrators marched in Tehran chanting against the US and Israel.  #Tehran #Iran #Protest #Demonstration #US #Israel #Geopolitics #MiddleEast #Reuters #News #SocialMedia #PointOfView #Politics","1","Iran","0","1","1","0","False","0","","0","","0","","1","Israel; Tehran; geopolitics","0","","0","","1","https://bsky.app/profile/zenthagod.bsky.social/post/3mfxgn7tkns2y","did:plc:cf7xemunekmbb2c3rlanl2yi","True","high","The Iran conflict","The post describes pro-government demonstrations in Iran expressing opposition toward the US and Israel, which directly relates to Iran's regional conflict and diplomatic stance."
"bafyreianw4pv5jcqkrfixo6bxmfz2wv2nayr3tw4j6lmn7auyf334kpgfq","2026-02-28","benjamin soft launched the US attacking Iran via tiktok on 2.8.26 btw","1","Iran","0","1","1","0","False","0","","0","","0","","0","","0","","0","","0","https://bsky.app/profile/lolapalooza.bsky.social/post/3mfxgn6s4ds2g","did:plc:qs5bodwjx2hkgedg3xti7pb2","True","high","The Iran conflict","The post directly references potential US military action against Iran."
"bafyreif7hi52rr25xftclt7m335dhzjxbreg5omulfm6z2e5twnk7cvdiq","2026-02-28","If you replace ‘Khamenei’ with ‘Trump’ in the first two sentences, you wouldn’t be wrong.","1","Trump","0","1","1","0","False","0","","0","","0","","0","","1","Khamenei; Trump","0","","1","https://bsky.app/profile/sugar-thief.bsky.social/post/3mfxgn6m2yc2l","did:plc:c2e4rpczbftjnair24hoagad","True","high","The Iran conflict","The post directly references the Supreme Leader of Iran, Ali Khamenei, in the context of political discourse regarding the Iran conflict."
"bafyreidadynlrhg6gwvdtvqiyt2zipedeltgn6rrw5g4zkeodpfcehntx4","2026-02-28","Time for the s*** to be turned around and attack/kill the person responsible for taking us to war against iran..","1","Iran","0","1","1","0","False","0","","0","","0","","0","","0","","0","","0","https://bsky.app/profile/bodascious.bsky.social/post/3mfxgn6k4ic22","did:plc:cvqu5vksxghxmszdmtkzrzgx","True","high","The Iran conflict","The post explicitly mentions a desire for military aggression against Iran and references the potential for a war with the country."
"bafyreigkmuoogulem37s4qba3uncnvw6s6ygxedn75rhfzweau4orw2mx4","2026-02-28","The War Department made war with Iran.  No one in congress, the bench or the White House has any idea what they are doing.  Our government does not know why we have a government.  Nor why we have a military.  open.substack.com/pub/mrnobody...","1","Iran","0","1","1","0","False","0","","1","war with Iran","0","","1","Congress; White House","0","","0","","2","https://bsky.app/profile/mr-nobody-01.bsky.social/post/3mfxgn67fpk2j","did:plc:mpqyj4hyl7bfv53cmprqimor","True","high","The Iran conflict","The post explicitly discusses military conflict between the US and Iran."
"bafyreihek4kiknhcko6a5vf3cmx3pduz252fgqxn3wjwfylo43rkwje2ga","2026-02-28","Dear President Trump:  Sexual offenders have the lowest status in prison. They're called ""motherfuckers"" and are treated poorly by their fellow inmates.  You're not going to like it.  Sincerely, America  #IranBombing #EpsteinDistraction #JustDesserts","1","Trump","0","1","1","0","False","0","","0","","0","","0","","1","Trump","0","","1","https://bsky.app/profile/reg-pither.bsky.social/post/3mfxgn5ejec24","did:plc:gh3t6uzkfgwuusadu6re2xdv","True","medium","The Iran conflict","The post includes the hashtag #IranBombing, which explicitly references military operations related to the Iran conflict."
"bafyreihwmebhp6b7e4r3f6xmg5quot43ygocmei4sjo3e6vcrz4jwkmbsa","2026-02-28","57 STUDENTS….  Family men, Trump and Satanyahu are the  BUTCHERS OF GAZA !","1","Trump","0","1","1","0","False","0","","0","","0","","0","","1","Trump","0","","1","https://bsky.app/profile/eddy-star-nfl805.bsky.social/post/3mfxgn4jk3c2i","did:plc:lrsispqgrba55ihlimsozv3h","True","high","The Iran conflict","The post mentions Gaza and refers to regional conflict dynamics involving political figures, which is explicitly listed as a component of the Iran conflict topic."
"bafyreib2lgnjj2udikhpfdqtc55phl6wriwq4ltctodfflletzielyr34e","2026-02-28","Timeline wasn't my point. It was that the world would be so much better if all dictatorships were toppled and its dictators sentenced to life terms. Whether in Iran, Russia, China, Cuba, Venezuela... Of course almost all far right and far left have their favorite totalitarian regimes. 🙏🏼🇺🇸🇺🇦👊🏼","1","Iran","0","1","1","0","False","0","","0","","0","","0","","0","","0","","0","https://bsky.app/profile/gipper2020.bsky.social/post/3mfxgn2rl2s2z","did:plc:o2vhxymxfrz4nii45nnvyyn3","True","high","The Iran conflict","The post explicitly mentions Iran in the context of political regime change and authoritarianism."
"bafyreig6iqqmfsv3jubb6gfteojusb7x7o725t7pjcbkinc5i642ipvsne","2026-02-28","www.aol.com/articles/lat...  ""Trump says"" is enough for me to doubt.  Iranian Supreme Leader Ayatollah Ali Khamenei was killed in a major attack on Iran launched by Israel and the United States, President Donald Trump said, calli...","3","Iran; Iranian; Trump","0","1","1","0","False","1","attack on Iran","0","","0","","1","Israel","1","Khamenei; Trump","0","","3","https://bsky.app/profile/bye-byex.bsky.social/post/3mfxgn2gil22t","did:plc:gohmuzz4x7e2z4or2pkukkg2","True","high","The Iran conflict","The post discusses an alleged military attack on Iran involving the U.S. and Israel, which directly relates to the Iran conflict."
"bafyreifsytydlrbld4pjcau33vbwctmbxdohstlh3n2t6syijt55o6r43y","2026-02-28","So...they just launched a preemptive strike to prevent the war they just started. They are asking the people of Iran to rise up after blowing up a girls school killing children. Im no expert but this doesnt feel like its going to work","1","Iran","0","1","1","0","False","1","strike","0","","0","","0","","0","","0","","1","https://bsky.app/profile/killerspud.bsky.social/post/3mfxgmzforc22","did:plc:2fmdhxcddpgnkeniq6cgpjmn","True","high","The Iran conflict","The post directly discusses military actions involving Iran and references domestic instability within the country."
"bafyreidjhq5oug4mctgtxb2rvkx6v4krbvhgi7c5x2wrelz7dreytndoby","2026-02-28","American liberals are fools. Just checked CNN. Jake Tapper is protecting his job into the future, waving the Trump flag in Iran. Why should he suffer Iranian innocents deaths? He's got a career to protect.","3","Iran; Iranian; Trump","0","1","1","0","False","0","","0","","0","","0","","1","Trump","0","","1","https://bsky.app/profile/vailalamadness.bsky.social/post/3mfxgmyjkes2n","did:plc:by7tbosrzfzztcgryxwo3els","True","high","The Iran conflict","The post discusses the Iran conflict by explicitly mentioning Iranian casualties and the geopolitical discourse surrounding U.S. relations with Iran."
"bafyreiflwoabaq65ljcxvxsamopxsdduvmkj35625dszk2qkynqxmroc7y","2026-02-28","Read ""Every country Trump has attacked or threatened in second term after Iran struck again by ‘America First’ president"" on SmartNews: l.smartnews.com/p-7fzD7xSw/g...  And This Piece Of Orange Shit Wants A Nobel Peace Prize!?!?!?😅🤣😂🤣😅😆😁","2","Iran; Trump","0","1","1","0","False","1","Iran struck; struck","0","","0","","0","","1","Trump","0","","2","https://bsky.app/profile/mayoljr.bsky.social/post/3mfxgmxwouc2h","did:plc:h3cewj74blssssl3uw74zcqn","True","high","The Iran conflict","The post explicitly mentions Iran and refers to military or diplomatic tensions involving the country in the context of political leadership."
